usia;kelompok
33        ;Dewasa              
29        ;Dewasa              
59        ;Tua                 
65        ;Tua                 
16        ;Remaja              
45        ;Dewasa              
75        ;Tua                 
17        ;Pemuda              
50        ;Dewasa              
1         ;Balita              
47        ;Dewasa              
26        ;Dewasa              
59        ;Tua                 
16        ;Remaja              
23        ;Pemuda              
72        ;Tua                 
71        ;Tua                 
18        ;Pemuda              
75        ;Tua                 
67        ;Tua                 
35        ;Dewasa              
9         ;Kanak Kanak         
2         ;Balita              
51        ;Dewasa              
52        ;Dewasa              
28        ;Dewasa              
78        ;Tua                 
31        ;Dewasa              
61        ;Tua                 
71        ;Tua                 
9         ;Kanak Kanak         
17        ;Pemuda              
35        ;Dewasa              
2         ;Balita              
78        ;Tua                 
24        ;Dewasa              
65        ;Tua                 
73        ;Tua                 
20        ;Pemuda              
51        ;Dewasa              
22        ;Pemuda              
52        ;Dewasa              
63        ;Tua                 
37        ;Dewasa              
22        ;Pemuda              
36        ;Dewasa              
66        ;Tua                 
78        ;Tua                 
35        ;Dewasa              
51        ;Dewasa              
71        ;Tua                 
30        ;Dewasa              
38        ;Dewasa              
32        ;Dewasa              
31        ;Dewasa              
29        ;Dewasa              
37        ;Dewasa              
33        ;Dewasa              
44        ;Dewasa              
12        ;Remaja              
27        ;Dewasa              
55        ;Tua                 
56        ;Tua                 
74        ;Tua                 
38        ;Dewasa              
4         ;Balita              
51        ;Dewasa              
7         ;Kanak Kanak         
53        ;Dewasa              
35        ;Dewasa              
54        ;Dewasa              
77        ;Tua                 
6         ;Kanak Kanak         
57        ;Tua                 
80        ;Tua                 
50        ;Dewasa              
66        ;Tua                 
9         ;Kanak Kanak         
44        ;Dewasa              
46        ;Dewasa              
38        ;Dewasa              
37        ;Dewasa              
31        ;Dewasa              
41        ;Dewasa              
75        ;Tua                 
32        ;Dewasa              
16        ;Remaja              
52        ;Dewasa              
48        ;Dewasa              
13        ;Remaja              
52        ;Dewasa              
66        ;Tua                 
16        ;Remaja              
45        ;Dewasa              
43        ;Dewasa              
66        ;Tua                 
15        ;Remaja              
24        ;Dewasa              
32        ;Dewasa              
79        ;Tua                 
